new_file,pixel_hash,width,height
/mnt/c/Users/Danvx/Desktop/New folder/0104-Yeah can you remove the hat and shade Make it more photorealistic.png,4aff6986ac855612144fbc1fc2dc5690a79bb535aa6cf5271542682608fb3dbd,1024,1536
"/mnt/c/Users/Danvx/Desktop/New folder/0105-Different shot at bar, photorealistic.png",bc147231f6b83a5ba73890544d4d4cd7e199262cf3253b68a8b1df4d12c3c247,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0106-Different shot, photorealistic.png",b2d437cf36e828a2ebe4ad53c12bf3fac7ef7f61c7fbd4fb2c8840e83092f133,1402,1122
"/mnt/c/Users/Danvx/Desktop/New folder/0107-Another one, facing her directly.png",327f2337f2ae20bded5bceed2185d00d49d4b04b10dc15dc1b574abfe96aec56,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0108-Another, closer.png",b1b3a4096d461cd91f8560b1b96a13259a1c55259c33e0d733fe60d47da7ccb0,1122,1402
/mnt/c/Users/Danvx/Desktop/New folder/0109-Another different shot.png,264ed005b56eae2cafab236cb6cf296239f6c11a291e7137fb9fcc722ad8f21f,1086,1448
/mnt/c/Users/Danvx/Desktop/New folder/0110-Surprise me.png,fe5428548251bbe472a012b4857ce054b7b48af0b27b6f4e860028ffb197cd8e,1122,1402
/mnt/c/Users/Danvx/Desktop/New folder/0111-Surprise me.png,a58cd8713ea571fc871e4a6a6955eb8b5e595fdf9b86a826cd0fb8819d9db411,1122,1402
"/mnt/c/Users/Danvx/Desktop/New folder/0112-Different shot, meeting customer (first person), turned to the side.png",e6c00621de2380cda1fff46418847d8248f1b4740cd6869a2b6abdd1fb4b8460,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0113-Different shot, Greeting customer (first person).png",d7046e264d60928247c2a9defe9b750f84cb609598f1d2f856ea2956a9f0f0eb,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0114-Can you make it look more like an actual photo rather than an AI gen, different.png",547041bf891c177590288685f05386ae5a57128735de969b251f24b55cba7e1e,1122,1402
/mnt/c/Users/Danvx/Desktop/New folder/0115-Greeting customer (first person).png,bf3b2e21d82570a46e1d97cf38b691e464b6e19b3250f1f434cd608e9e02e514,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0116-Can you make it look more like an actually photo rather than an AI gen, differen.png",4e55ffe50f8ae005abfa4f251a82b745ddc41dcff8a615a44592ee94e80df344,1086,1448
/mnt/c/Users/Danvx/Desktop/New folder/0117-Can you make it look more like an actually photo rather than an AI gen.png,7f4ac102c5f908f8fd18a0fb1fb5b0beb700b0c2f9fadecf7acc254f9328931f,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0118-{ content_type image_asset_pointer , asset_pointer sediment file_00000000db0081f.png",ac954bf7c6c7a31f71609c3f62b64713c8538fc0d20af765b2b16d06b249d031,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0119-Standing next to a DB12, door open, talking.png",77f00cd362efc1f235f0e535ae0d17be04f27c3ca5cb5830410a99ac51941d1d,1122,1402
"/mnt/c/Users/Danvx/Desktop/New folder/0120-Standing next to a DB12, door open, talking, friendly, first person view, subtly.png",d96d3036a46ac17d3f573ddc3c81af0c8cbdf2c55d7e1f968375fd38381a366a,1086,1448
/mnt/c/Users/Danvx/Desktop/New folder/0121-Make that.png,deda9117226c3637b67d65978df93da09ccb5209936932da56d78325c9dc60f0,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0122-Standing next to a DB12, door open, talking, friendly, subtly showing off figure.png",1afba61f851a137232dd72785e019654eb695e9c5086144bd9a82ae3563cf4fb,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0123-Standing next to a DB12, door open, laughing, first person shot, friendly, subtl.png",f2d824fab1f438645636509dae6a0795effd63bc6915240ccebefe43e6153125,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0124-Standing next to a DB12, door open, explaining features, first person shot, frie.png",7da5265269db1d4a63eb0c62c56ac89df630a1f42c1a9807fee26bdb99fc80ec,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0125-Standing next to a DB12, door open, explaining features, first person shot, frie.png",4c727abfac7b9c7a3447b4d158169b8abc1638fe8858c051cf512efd129e25b4,941,1672
/mnt/c/Users/Danvx/Desktop/New folder/0126-Make it.png,fb359bc71212fa460aeaced78a364504cb94b7290cdbf327337fc91670976cd6,1086,1448
"/mnt/c/Users/Danvx/Desktop/New folder/0127-Standing next to a DB12, door open, explaining features.png",6283744fe7a34b39ae9b72b24381dec81904a4a4c57239d3afbd3022ca1e5030,1086,1448
